,MODEL_STANDARD_NAME,CATE_NAME,PREDICT
694,进口雪铁龙雪铁龙citroenc53.0at(01-07),标致雪铁龙c5,citroen
698,里程ka73.2at(91-96),里程legend,里程ka7
699,本田里程ka73.2mt,里程legend,本田里程k
700,里程ka93.5at(96-04),里程legend,里程ka9
702,序曲2.2lmt(91-96),披露prelude,序曲
708,本田思域crx1.6at,思域civic,本田思域crx
709,双龙爱腾2.0at(200605),爱腾actyon,爱腾
714,英伦sma72402.4mt(200805),上海华普英伦tx4,英伦
715,东风悦达起亚起亚kx3yqz6421a1.6latprm(201503),东风悦达起亚kx3,东风悦达起亚起亚kx3
716,英伦sma71881.8mt,上海华普英伦sc7(海景),英伦
717,进口三菱欧蓝德劲界outlanderex2.4lcvt四驱时尚导航版(201110),欧蓝德outlander,欧蓝德劲界outln
718,进口奔驰benzgl350(x164)3.0at(07-13),奔驰gl级,奔驰
719,长丰三菱帕杰罗cfa2031b3.0mt(四驱),长丰帕杰罗,帕杰罗
721,长安sc6330b0.8mt,长安其它轻型客车,长安
725,郑州东风zn6492h2s3.24x2mt,锐骐,东风
726,斯巴鲁翼豹imprezaxv2.0lat两厢标准版(201007),斯巴鲁xv,翼豹imprezaxv
728,进口捷豹jaguarf-pace级3.0tat四驱s高性能版(201706),捷豹f-pace级,捷豹jguarf-pa
729,进口捷豹jaguarf-pace级3.0tat四驱r-sport运动版(201706),捷豹f-pace级,捷豹jaguarf-pac级
730,保时捷porsche9113.6at(98-05),保时捷911,保时捷por
731,保时捷波尔舍911gt3.6mt,保时捷卡雷拉gt,保时捷波尔舍9
734,帕杰罗v233.0(两门),帕杰罗pajero,帕杰罗v23
735,帕杰罗l0472.6(四驱),帕杰罗pajero,帕杰罗
736,帕杰罗sport3.0at(四驱),帕杰罗pajero,帕杰罗sport
737,帕杰罗v312.4,帕杰罗pajero,帕杰罗v31
739,罗孚752.5at,英国艾姆吉-罗孚75,罗孚7
740,可赛1.6at,可赛corsa,可赛
742,欧捷利1.2mt,欧捷利agila,欧捷利
748,英菲尼迪g252.5at,英菲尼迪g系列,英菲尼迪g25
749,上汽通用五菱五菱之光五菱扬光lzw6390nvf1.0lmt5座,五菱之光/五菱扬光,五菱之光扬光
750,金杯通用雪佛兰开拓者sy6460sbs2.4lmt两驱标准型(2001),开拓者blazer,开拓者
751,沃尔沃c702.4tat,瑞典沃尔沃c70,沃尔沃c70
752,沃尔沃7602.8mt,瑞典沃尔沃760,沃尔沃760
753,捷豹f-types5.0tat(201211),捷豹f-type级,捷豹f-types
754,日本雅阁cb5mt(90-93),思域civic,雅阁cb5
763,星马ah5256gjb混凝土搅拌车,星马混凝土搅拌车,星马
766,进口奔驰benzw124220e2.2at(84-95),奔驰e级,奔驰
768,光冠st1911.6at(92-98),光冠corona,光冠
770,名爵nj7182zl1.8at,名爵mg 7,名爵
772,吉利jl7130x1.3mt(200509),美日,利
773,进口三菱欧蓝德劲界outlanderex3.0l3.0lat四驱精英gt版(200910),欧蓝德outlander,欧蓝德劲界outla
775,郑州宇通zk6100ha,郑州宇通10米公路客车,郑州宇通
778,五菱lzw6370,都市清风,五菱
779,五菱lzw63701.0mt,五菱之光/五菱扬光,五菱
780,海格klq6100,海格10米公路客车,海格
781,福达fz1022sa,福达货车,福达
782,公爵gfy313.0at,公爵cedric,公爵
783,华阳bhq6360,华阳轻型客车,华阳
784,保时捷porschepanamera3.6l(09),保时捷帕纳美拉panamera,保时捷or
785,保时捷帕纳美拉4.8at(四驱),保时捷帕纳美拉panamera,保时捷帕纳美拉
788,进口马自达mazdam62.3at豪华型(200701),日本马自达m6,马自达mazdam6
789,马自达m62.5,日本马自达m6,马自达m6
790,进口马自达mazdamx-52.0at标准型(200905),日本马自达mx-5,马自达mazdamx-5
791,马自达mx-51.6mt(敞篷),日本马自达mx-5,马自达mx-5
793,进口马自达mazdarx-81.3mt(2003),日本马自达rx-8,马自达mazdarx-
795,马自达3.0mt,日本马自达俊朗eunos,马自达
797,进口马自达mazdacx-93.7lat标准型(201211),日本马自达cx-9,马自达mazdacx-9
798,马自达2.5at,日本马自达千年,马自达
800,江淮和悦rshfc7180m1.8lmt豪华型5座(201010),江淮瑞风m2,江淮和悦
807,进口沃尔沃volvoc302.0i双离合两厢r-design个性运动版(200909),瑞典沃尔沃c30,沃尔沃volv
808,东风悦达起亚智跑yqz6440a2.0lat四驱premium(2011),东风悦达起亚狮跑/智跑,东风悦达起亚智跑
809,大迪bdd6491c,大迪霸道,大迪
810,进口沃尔沃xc90volvoxc90t52.0tat智逸版5座(201809),瑞典沃尔沃xc90,沃尔沃xc90
812,法拉利ferrarif430跑车(04),法拉利f430,法拉利ferra
813,翱龙dd6480c3.24x2,翱龙(傲龙),翱龙
814,飞鹰1.6mt,意大利菲亚特飞鹰,飞鹰
815,马力昂1.6mt,意大利菲亚特马力昂,马力昂
816,瑞麒g6sqr7181b121.8tat(201108),瑞麒g系列,瑞麒g6
817,江铃jx6473,江铃客车,江铃
819,吉利全球鹰rx6453b022.4lat(201204),全球鹰gx7,全球鹰
824,君王concorde3.2at(93-97),克莱斯勒君王concorde,君王concorde
827,本田时韵2.0at,时韵stream,本田时韵
828,斯巴鲁翼豹2.0at(四驱),翼豹impreza,翼豹
829,公羊rm1500(94-03),公羊ram,公羊
830,大捷龙3.3at(01-07),克莱斯勒大捷龙grand voyager,大捷龙
832,思域ek1/ek31.5(95-00),思域civic,思域ek1
833,本田思域ek31.5mt,思域civic,本田思域ek3
834,思域es11.7at(01-05),思域civic,思域es1
835,阿斯顿马丁db96.0at,阿斯顿-马丁db,阿斯顿马丁
837,大迪bdd6470e2.2lmt,都市雅宝,大迪
839,阿斯顿马丁dbs6.0at,阿斯顿-马丁db,阿斯顿马丁dbs
841,阿斯顿马丁one-777.4at,阿斯顿-马丁vanquish,阿斯顿马丁one
842,阿斯顿马丁rapide6.0at,阿斯顿-马丁vanquish,阿斯顿马丁rapide
845,蓝天cielo1.6(94-97),赛罗cielo,蓝天cel
846,雷佐2.0at(00),雷佐rezzo,雷佐
847,广汽丰田yarisl致享gtm7150yme1.5lmt炫动版(201703),广汽丰田 yaris l 致享,广汽丰田yarisl致享
851,佳星ca7111,一汽佳星幸福使者,佳星
852,郑州日产帕拉丁zn6452wad3.3lat标准型四驱,郑州帕拉丁,郑州日产帕拉丁
853,英菲尼迪fx353.5at,英菲尼迪fx系列,英菲尼迪
854,进口英菲尼迪infinitig353.5lat标准版(2007),英菲尼迪g系列,英菲尼迪infiniti
855,长丰猎豹猎豹cs6cjy6470e2.4lmt(2000),v31/v32/v33系列,猎豹cs6
865,长丰猎豹奇兵cfa6471a,v31/v32/v33系列,猎豹奇兵
870,马自达929he3.0at,日本马自达929,马自达929
871,进口马自达mazdacx-72.5lat豪华型(200911),日本马自达cx-7,马自达mazdacx-
873,奥蒂玛2.5at,奥蒂玛altima,奥蒂玛
875,进口马自达mazdam3bl1.6mt舒适型(201001),日本马自达m3,马自达mazdam3
876,吉利jl7101huat(200212-08),优利欧,利
877,杰勋sc64422.0mt(200704),长安杰勋,杰勋
878,吉利jl7181b021.8lat(201112),全球鹰gc7,利
879,捷豹s-type3.0at(99-08),捷豹s-type级,捷豹s-type
881,捷豹x-type2.5at(02-08),捷豹x-type级,捷豹x-type
883,阿尔法罗密欧1462.0at,阿尔法罗米欧146,阿尔法罗密欧
884,阿尔法罗密欧1471.6,阿尔法罗米欧147,阿尔法罗密欧
885,伊克诺莱恩e-2505.8,伊克莱econoline,克诺莱恩
887,伊克诺莱恩e-2505.4,伊克莱econoline,诺莱恩
889,悍马h33.7at(06),美国通用悍马h3,悍马h3
897,思域es51.6at(01-05),思域civic,思域es5
899,本田思域hybrid1.3at(混合动力),思域civic,本田思域hybrid
900,漫步者2.0at(01-201007),克莱斯勒pt漫步者,漫步者
903,吉利美日mr7182k01.8mt(200911),帝豪ec,美日
904,斯巴鲁傲虎2.5lcvt豪华导航版(201511),傲虎outback,傲虎
906,一汽大众迪fv71651.6mt五座(200504),一汽大众开迪,一汽大众迪
914,林肯城市4.0at(98-11),城市town car,林肯城市
915,天蝎座2.0,天蝎座scorpio,天蝎座
916,维多利亚皇冠4.6at,美国福特维多利亚皇冠,皇冠
917,我流4.5at,日本光冈我流,我流
919,阿尔法罗密欧1562.0at,阿尔法罗米欧156,阿尔法罗密欧
922,阿尔法罗密欧1663.0at,阿尔法罗米欧166,阿尔法罗密欧
923,阿尔法罗密欧gtv3.0mt,阿尔法罗米欧gtv,阿尔法罗密欧gtv
924,玛莎拉蒂gtat,玛莎拉蒂granturismo,玛莎拉蒂gtat
925,克罗玛1.3mt,克罗玛croma,克罗玛
928,蓝旗亚3.0,意大利菲亚特兰旗亚,蓝旗亚
929,迷你minicooper1.5tat两厢先锋派三门版(201604),mini cooper,你inicooper
932,进口奔驰benzg3503.0at(柴油),奔驰g级,奔驰
933,埃尔法3.0at(02-08),日本丰田alphard,埃尔法
940,爱文奇思avensis1.8,日本丰田爱文奇思,爱文奇思avensis
949,康柯德3.2at,克莱斯勒君王concorde,康柯德
951,纽约客3.3,克莱斯勒纽约人,纽约客
952,赛百灵2.5at(敞篷),克莱斯勒赛百灵sebring,赛百灵
953,斯巴鲁翼豹xv2.0at(两厢),翼豹impreza,翼豹xv
958,道奇srt6.1at,道奇挑战者,道奇srt
961,斯巴鲁翼豹rs2.5at(四驱),翼豹impreza,翼豹rs
962,兰博基尼aventadorlp700(11),艾文塔多aventador,兰博基尼aventador
963,兰博基尼lp6506.5mt(敞篷四驱),意大利兰博基尼,兰博基尼
964,普瑞维亚acr30(200002-200512),普瑞维亚previa,维亚acr3
965,帝王3.3at,克莱斯勒帝王,帝王
966,日本雅阁cb7mt(90-93),雅阁accord,雅阁cb7
967,彩虹2.0at(95-99),克莱斯勒彩虹neon,彩虹
968,酷搏2.0at,道奇酷博caliber,酷搏
969,吉利美日sma7101k1.0mt(200504),自由舰,美日
974,广州本田锋范hg7154cba1.5at(200812),广汽本田锋范,广州本田锋范
976,锋范hg7180cba1.8at(200812),广汽本田锋范,锋范
977,广州本田歌诗图hg73503.5at(201010),广汽本田歌诗图,广州本田歌诗图
978,广州本田飞度hg71541.5at(两厢200807),广汽本田飞度,广州本田飞度
979,斯威夫特1.0mt,日本铃木斯威夫特,斯威夫特
980,野马3.9at(敞篷),美国福特野马,野马篷
981,拓远者durango5.7at(04-2009),拓远者duiango,拓远者durango
982,进口宝马bmw5系f10m54.4t双离合三厢(201111),德国宝马5系,宝马bmw5系
983,进口宝马bmwm54.4at(09),德国宝马5系,宝马
986,进口英菲尼迪英菲尼迪infinitiex373.7lat四驱版(201308),英菲尼迪ex系列,英菲尼迪infinit
987,进口英菲尼迪英菲尼迪infinitifx373.7lat标准版(201207),英菲尼迪fx系列,英菲尼迪infinit
988,本田极品el1.7at,日本本田讴歌极品\阿库拉,本田极品el
990,本田极品2.5iat,日本本田讴歌极品\阿库拉,本田极品
998,进口宝马bmwx5e70m4.4tat(200909),德国宝马x5,宝马bmwx
999,进口宝马bmwx550i5座4.4at(10),德国宝马x5,宝马
1004,威达vectra2.2at(95-02),德国阿德姆-欧宝维佳,威达vectra
1008,捷豹xkr4.2at(07),捷豹xk级,捷豹xkr
1010,进口道奇酷威jcuv2.7lat(200903),道奇酷威journey,酷威jcuv
1011,交叉火力3.2at(两门),克莱斯勒交叉火力,交叉火力
1012,卷云2.4at,克莱斯勒卷云,卷云
1016,捷豹xk4.2at(96-06),捷豹xk级,捷豹xk
1018,保时捷porsche9113.6mt(98-05),保时捷911,保时捷pr
1020,长安运动星sc6371e1.3lmt8座(2003),长安之星,长安运动星
1023,昌河ch6531mt,昌河微型客车,昌河
1024,北京bj1021系列多用途货车,陆铃,京
1025,北京bj1030p1t4普通货车,旗铃,北京
1026,昌河ch6370,昌河海豚,昌河
1028,北京bj1045,北汽轻型货车,北京
1030,北京bj20232.0mt,北汽2020系列,北京
1036,进口奥迪tts2.0at(四驱200611),德国奥迪tt,奥迪tts
1038,陆地巡洋舰47004.7at,陆地巡洋舰land cruiser,陆地巡洋舰
1039,进口奔驰benzb1701.7at,奔驰b级,奔驰
1042,公爵v303.0,公爵cedric,公爵v30
1047,曙光dg64002.2mt(三门),曙光骄子,曙光
1048,扬子yzk6480jme2.2,福铃,扬子
1049,扬子yzk6493,长丰扬子5米公路客车,扬子
1059,丰田vellfire3.5lat(200804),日本丰田alphard,丰田vellfire
1060,太阳舞2.0mt(87-94),克莱斯勒太阳舞sundance,太阳舞
1063,保时捷porsche911carreras跑车(05),保时捷911,保时捷or
1066,保时捷porscheboxstertiptronics2.7lat(200501),保时捷博斯特boxster,保时捷
1067,保时捷porscheboxster2.7lmt(200501),保时捷博斯特boxster,保时捷r
1068,保时捷博克斯特2.5mt,保时捷博斯特boxster,保时捷博克斯特
1072,蓝天cielo1.5(94-97),赛罗cielo,蓝天cielo
1073,马自达323bg1.8mt,日本马自达323,马自达323
1075,雅阁ce62.7at(93-97),雅阁accord,雅阁ce6
1076,雅阁cg52.3at(98-02),雅阁accord,雅阁cg5
1077,长城腾翼v80cc6460vm062.0lmt豪华型(201008),长城腾翼v80（嘉誉）,长城腾翼v80
1082,马自达626gc2.0mt,日本马自达626,马自达626
1083,北京bj2036,勇士,北京
1085,道奇王朝3.3at(88-93),道奇王朝dynasty ,道奇王朝
1089,途乐5.6at,途乐patrol,途乐
1090,吉利sma7131k1.3mt(201209),自由舰,
1091,英菲尼迪g202.0mt,英菲尼迪g系列,英菲尼迪g20
1092,法拉利ferrari599gto6.0l(07),法拉利599,法拉利ferra
1093,大迪bdd6490e,都市骏马,大迪
1095,桂冠2.0at,桂冠laurel,桂冠
1097,本田雅阁cm52.4at(03-07),雅阁accord,本田雅阁
1098,本田雅阁cn33.0at(03-07),雅阁accord,本田雅阁cn3
1100,本田雅阁dxsedan2.3at,雅阁accord,本田雅阁dxsedan
1101,双龙主席cm500l2.8at(04-07),主席chairman,主席cm5
1108,斯巴鲁翼豹wrxsti2.5mt(两厢),翼豹impreza,翼豹wrxsti
1109,航海家3.0at,克莱斯勒大捷龙grand voyager,航海家
1111,名爵mg6csa7183ac1.8tat掀背精英版(200912),名爵mg 6,名爵mg6
1115,进口奥迪1002.0at(199012-199406),德国奥迪100,奥迪100
1119,进口奥迪auditt45tfsicoupequattro2.0t双离合彩色梦幻版(201303),德国奥迪tt,auditt45
1122,进口奥迪auditts2.0tfsiroadsterquattro2.0t双离合(200811),德国奥迪tts,auditts
1123,进口奥迪s53.0tat四门(200804-201202),德国奥迪s5,奥迪s5
1125,进口奥迪s85.2l(200606-2009),德国奥迪s8,奥迪s8
1132,博悦1.4at(两厢),博悦bravo,博悦
1134,小帆船1.8at(两门敞篷),意大利菲亚特小帆船,小帆船
1135,乌诺70s1.4mt,乌诺uno,乌诺70s
1137,库博2.0at,意大利菲亚特库博,库博
1138,蓝旗亚德赛3.0,意大利菲亚特蓝旗亚德赛,蓝旗亚德赛
1139,朋多1.4mt(两厢),朋多punto,朋多
1140,菲亚特178001.5mt,派力奥palio,亚特
1141,流线2.0at,美国福特流线,流线
1143,爱仕2.0(01-07),爱仕escape,爱仕
1144,进口福特翼虎escape3.0at基本型(2004),爱仕escape,翼虎escape
1146,金牛座2.0at(96-01),金牛座taurus,金牛座
1147,锐界2.0(07),美国福特锐界（爱虎）edge,锐界
1148,嘉路4.0,日本光冈嘉路,嘉路
1149,大蛇3.3,日本光冈大蛇,大蛇
1154,美洲狮3.0at,美国福特水星美洲狮,美洲狮
1158,进口讴歌讴歌acurazdx3.7lat标准版(201111),讴歌zdx,讴歌acurazdx
1159,途乐y604.5at,途乐patrol,途乐y60
1160,贵族2.0mt,爱斯皮罗espero,贵族
1161,马蒂兹0.8mt(98),马蒂兹matiz,马蒂兹
1164,大宇美男爵2.0at,美男爵magnus,大宇美男爵
1165,莱门斯1.8,美男爵magnus,莱门斯
1166,江淮同悦hfc7000aev纯电动(2011),江淮电动,江淮同悦
1168,江淮宾悦hfc72002.0mt(200711),江淮宾悦 ,江淮宾悦
1171,进口讴歌讴歌acuratl3.2lat标准版(200609),讴歌tl,讴歌acuratl
1174,一汽大众大众ccfv7307rcdgg3.0l双离合(201204),一汽大众cc,一汽大众大众
1184,英菲尼迪infinitiqx565.5lat基本版(201009),英菲尼迪qx系列,英菲尼迪infiniti
1185,英菲尼迪qx565.6at(四驱)(04),英菲尼迪qx系列,英菲尼迪
1188,风度a322.0mt,风度cefiro,风度a32
1189,尼桑spec-s2.0mt,日产silvia,尼桑spec-s
1193,宝马bmw7200ae320i(05-08),华晨宝马3系,宝马
1200,福克斯2.0at(98-04),福克斯focus,福克斯
1201,沃尔沃xc703.0at,瑞典沃尔沃xc70,沃尔沃xc70
1202,蓝瑟翼豪陆神2.0mt(四驱),兰瑟lancer,豪陆神
1204,长安sc7156b1.5at(200911),长安悦翔,长安
1207,帕杰罗v322.4,帕杰罗pajero,帕杰罗v32
1208,帕杰罗v333.0,帕杰罗pajero,帕杰罗v33
1209,帕杰罗v422.4,帕杰罗pajero,帕杰罗v42
1210,中华sy7160x(3)sbac1.6lmt(201108),中华h530,中华
1213,路虎揽胜4.0at(94-02),揽胜range rover,揽胜
1219,吉利jl71001.0mt(199808-08),豪情,利
1226,雷克萨斯gs系lexusgs3503.5lat(2006),雷克萨斯es系,雷克萨斯gs系
1227,雷克萨斯es4004.0,雷克萨斯es系,雷克萨斯
1231,进口奥迪802.0,德国奥迪80,奥迪80
1232,进口奥迪a21.4(199911-200508),德国奥迪a2,奥迪a2
1234,进口奥迪rs42.7ttmt,德国奥迪rs4,奥迪rs4
1245,进口标致标致peugeot3061.6at(94-02),标致306,标致peugeot
1250,进口雪铁龙雪铁龙citroenc41.6at(200411-201005),标致雪铁龙c4,citro
1251,进口雪铁龙雪铁龙citroen遨游2.0mt,遨游evasion,citroen遨游
1252,进口雪铁龙雪铁龙citroenc31.6at(02-2009),标致雪铁龙c3,citroe
1256,沃尔沃s40t52.5at,瑞典沃尔沃s40,沃尔沃s40t
1259,帕杰罗v462.8(柴油),帕杰罗pajero,帕杰罗v46
1260,帕杰罗v633.0,帕杰罗pajero,帕杰罗v63
1261,思派朗2.7mt,翱欧邻思派朗,朗
1270,斯巴鲁翼豹wrx2.0mt,翼豹impreza,翼豹wrx
1271,沃尔沃v70xc2.5at(四驱),瑞典沃尔沃xc70,沃尔沃v70x
1278,伊柯丽斯2.4at,伊柯丽斯eclipse,伊柯丽斯
1279,华晨中华骏捷sy7150s2b21.5tmt(2012),中华h530,骏捷
1286,海马hn64703.0mt,海马3,海马
1289,美鹿jj71301.3mt,上海华普美鹿,美鹿
1300,皇冠jzs1553.0at,皇冠crown,皇冠
1304,佳美mcv103.0at(91-96),佳美camry,佳美mv
1307,男爵3.0at(90-95),克莱斯勒男爵lebaron,男爵
1310,斯巴鲁翼豹sport2.0at,翼豹impreza,翼豹sport
1313,阳光1.8at,阳光sunny,阳光
1314,尼桑350z3.5mt,日产z系,尼桑350z
1316,雅阁cd72.2mt(93-97),雅阁accord,雅阁cd7
1317,捷龙2.5,克莱斯勒大捷龙grand voyager,捷龙
1323,兰博基尼6.2mt,意大利兰博基尼蝙蝠,兰博基尼
1327,蓝鸟u11(198310-198708),蓝鸟bluebird,蓝鸟u11
1328,蓝鸟(bluebird)u122.0(198709-199108),蓝鸟bluebird,蓝鸟(bluebird)
1330,雷克萨斯es3003.0at(01-06),雷克萨斯es系,雷克萨斯es
1331,雷克萨斯gse20(is250)2.5at(06),雷克萨斯is系,雷克萨斯gse20
1332,锋哲2.4at(200801),道奇锋哲avenger,锋哲
1334,太平洋3.5at,克莱斯勒太平洋,太平洋
1336,思域eg81.5(91-95),思域civic,思域eg8
1338,力帆lf7002ev(电动),力帆电动,力帆
1340,本田思域ec41.5mt,思域civic,本田思域ec4
1341,本田思域eh91.6at,思域civic,本田思域eh9
1342,思域es71.6at(01-05),思域civic,思域es7
1343,思域es81.5at(01-05),思域civic,思域es8
1345,金龙xml6402,金旅轻型客车,金龙
1349,美国通用雪弗兰普林斯1.8mt,美国通用雪佛兰普林斯,普林斯
1352,环宇gs2.0mt,美国福特水星环宇,环宇gs
1357,风度a312.0,风度cefiro,风度a31
1358,沃尔沃9603.0at,瑞典沃尔沃960,沃尔沃960
1359,沃尔沃7402.3mt,瑞典沃尔沃740,沃尔沃740
1360,沃尔沃2402.3mt,瑞典沃尔沃240,沃尔沃240
1362,千里马hj303.0at,千里马maxima,千里马
1363,千里马j303.0at,千里马maxima,千里马j30
1365,千里马qx2.0at,千里马maxima,千里马qx
1366,进口雪铁龙雪铁龙citroenc42.0at(200411-201005),标致雪铁龙c4,citroe
1369,进口雪铁龙雪铁龙citroenc4aircross2.0lcvt四驱(201204),标致雪铁龙c4,citron
1372,进口标致标致peugeot4051.6lmt(1994),标致405,标致peugeot
1375,进口雪铁龙雪铁龙citroenc63.0lat旗舰版(200701),标致雪铁龙c6,citro
1376,进口雪铁龙雪铁龙citroenxm2.0mt,标致雪铁龙xm,citroen
1377,进口雪铁龙雪铁龙citroen桑蒂雅2.5mt(93-98),标致雪铁龙xm,citro桑蒂雅
1380,长安镭蒙sc63811.3mt,长安汽车镭蒙,长安镭蒙
1381,凯宴cayenne4.8手自一体(201006),保时捷凯宴cayenne,凯宴cayenne
1383,雷克萨斯ls4304.3at(00-06),雷克萨斯ls系,雷克萨斯
1388,纳智捷优6suvdym7202bac52.0tat智尊型(201609),优6 suv,纳智捷优6u
1396,森特拉2.0,森特拉sentra,森特拉
1397,尊荣3.0at,尊荣gloria,尊荣
1398,西玛f504.5at,西玛cima,西玛f50
1399,进口奔驰benz斯马特(smart)0.6lat(1998-2006),fortwo,驰斯马特(art)
1403,起亚速迈rs1.5mt,速迈shuma,速迈rs
1407,奇瑞奇瑞qq6sqr7120s211.2mt(200609),奇瑞qq/qq3,奇瑞qq6
1409,庞蒂克2.4mt(敞蓬),美国通用庞蒂克,庞蒂克
1411,奥斯莫比尔卡特莱斯3.1at,美国通用奥斯莫比尔,卡特莱斯
1415,德国大众迈腾1.4tat,迈腾magotan,德国大众迈腾
1416,奇瑞cac64301.6mt,风云,奇瑞
1423,熊猫1.1mt,意大利菲亚特熊猫,熊猫
1424,蓝旗亚主旋律3.0at,意大利菲亚特蓝旗亚主旋律,主旋律
1425,领雅1.4mt,领雅linea,领雅
1430,海马hma71101.1mt(201004),王子,海马
1431,进口奔驰benzv2302.3at,奔驰v级,奔驰
1433,众泰jnj7000evm(电动),众泰m300,众泰
1438,黄海dd6472b2.0lmt(201104),旗胜,黄海
1442,千里马30003.0at,千里马maxima,千里马3000
1445,普瑞玛p122.0,日产其他车辆,普瑞玛p12
1451,起亚索兰托2.4at(四驱)(200907),索兰托sorento,索兰托
1452,起亚索兰托2.2at(柴油)(200907),索兰托sorento,索兰托(
1461,雪佛兰科西嘉2.2(87-96),美国通用雪佛兰科西嘉corsica,科西嘉
1463,克雷西达rx802.4mt(88-96),克雷西达cressida,西达rx80
1467,兰德酷路泽2005.7at,酷路泽fj cruiser,酷路泽200
1470,英菲尼迪fx505.0at,英菲尼迪fx系列,英菲尼迪fx
1471,英菲尼迪qx43.5at(四驱),英菲尼迪qx系列,英菲尼迪qx4
1475,阳光n161.8at,阳光sunny,阳光n16
1476,尼桑gt-r3.8at(四驱),日产gt-r,尼桑gt-r
1480,解放ca4180p66k2a1半挂牵引汽车,解放j6(p6),解放ca4180
1481,东风日产柴dnd5241gjbcwb452k混凝土搅拌运输车,东风日产柴cwb系列,东风日产柴
1482,长安sc5020xxyab厢式车,长安星韵,长安
1484,长丰扬子yzk6460,飞扬,扬子
1487,扬子yzk6498cae2.2,飞铃,扬子
1490,万丰shk6520m2.2mt,速威,万丰
1492,哈飞hfj7001ev(电动),哈飞电动,哈飞
1493,天津一汽丰田卡罗拉tv7182gl-imt,花冠/卡罗拉,卡罗拉
1500,进口宝马bmw6系f06640i3.0tat三厢(201305),德国宝马6系,宝马w6系
1503,一汽奥迪fv7183bacwg30tfsicvt(201208),一汽奥迪a4l,一汽奥迪
1508,乘龙lz4130md牵引汽车,乘龙货车,乘龙
1515,金杯sy1041,金杯轻型货车,金杯
1516,乘龙lz5250zljqdj自卸式垃圾车,东风霸龙,乘龙
1517,凤凰fxc5063xxy厢式运输车,凤凰载货车,凤凰
1518,解放ca4250p66k2t1a1e6x4半挂牵引汽车,解放j6(p6),解放ca4250
1522,大迪bdd1021sc轻型货车,顺驰皮卡,大迪
1523,进口奔驰benz凌特315cdi2.2,奔驰sprinter,奔驰
1524,进口奥迪audia8l2.8fsi2.8lcvt豪华型(200811),德国奥迪a8,audia8l
1526,阿斯顿马丁virage6.0at,阿斯顿-马丁vanquish,阿斯顿马丁virage
1529,海拉克斯rzn147l,海拉克斯hilux,海拉克斯
1536,庆铃(五十铃)n系列轻型商用车nkr77lleacja载货汽车,庆铃n系列商用车,庆铃(十)n系列
1537,庆铃(五十铃)n系列轻型商用车nkr77llnacjax厢式货车,庆铃n系列商用车,庆铃(五)n系列
1541,乘龙lz4250mdb牵引汽车,乘龙牵引车,乘龙
1550,福田bj1022系列轻型载货汽车,时代小卡之星,福田
1551,哈飞松花江hfj1010载货汽车,松花江微卡,哈飞松花江
1552,汉江sfj1010货车,汉江载货车,汉江
1558,进口宝马bmwe66760li6.0at(02-08),德国宝马7系,宝马
1564,福田风景传奇bj6488m16aa,福田传奇,风景传奇
1568,福田bj6458mc6va1.6mt,蒙派克,福田
1569,玛莎拉蒂gtmt,玛莎拉蒂granturismo,玛莎拉蒂gtmt
1571,金旅xml6510,瑞禧,金旅
1574,奇瑞风云sqr7151a216/n1.5lmt(201005),旗云2,风云
1576,陕汽斯达-斯太尔zz1252,陕汽斯太尔,陕汽斯达-斯太尔
1579,黄河zz1111k7011载货汽车,金王子,黄河
1582,解放ca1030p90k11l载货汽车,一汽红塔轻卡,解放ca1030
1583,解放ca1036p90k11l载货汽车,一汽红塔轻卡,解放ca103
1584,解放ca3030p90k11l自卸汽车,一汽红塔轻卡,解放ca3030
1586,郑州宇通zk5130xcx采血车,郑州宇通专用车,郑州宇通
1587,五菱lzw5020,通用五菱微卡,五菱
1588,东风天龙dfl1251a,东风天龙(a),东风天龙
1589,金杯sy6534m2.4mt,海狮,金杯
1591,南汽跃进nj5042p-mdbw,跃进低速货车,汽跃进
1592,南汽跃进nj1043da,nj1043/1062系列,南汽进
1593,南汽跃进nj1043daw,nj1043/1062系列,进
1594,南汽跃进nj1043dal,nj1043/1062系列,汽进
1596,南汽跃进nj1043dals,nj1043/1062系列,汽
1597,一汽吉林ca1010,佳宝,一汽吉林
1601,庆铃(五十铃)n系列轻型商用车nkr77llnacja载货汽车,庆铃n系列商用车,庆铃()n系列
1602,郑州日产zn6461w1x4x22.5mt,奥丁,郑州日产
1607,庆铃(五十铃)n系列轻型商用车nkr77llpacjax厢式货车,庆铃n系列商用车,庆铃(铃)n系列
1610,庆铃(五十铃)n系列轻型商用车nkr77pllwcjaxs1厢式货车,庆铃n系列商用车,庆铃(五)n系列车
1611,郑州日产尼桑zn6453wag32.4mt,郑州帕拉丁,郑州日产尼桑
1613,五十铃tfr54hd载货汽车,江西五十铃轻卡,
1614,解放ca1060pk2载货汽车,解放j4(p),解放ca1060
1615,解放ca1091货车,解放j4长头系列,解放ca0
1627,爱尔法bj6516b1dda,风景爱尔法,爱尔法
1629,欧曼bj1079vcpfd,欧曼奇兵,欧曼
1631,豪运zz4255n3245牵引汽车,豪运(hoyn),豪运
1634,进口宝马bmw进口宝马bmwminir50cooperone1.4dat,mini cooper,进口宝马
1639,进口奥迪audiq7quattro3.0tfsiat专享型200kw(201009),德国奥迪q7,audiq7
1640,福田bj6468mc6wa-a2.2,福田传奇,福田
