MODEL_STANDARD_NAME,CATE_NAME,VERSION
上汽大通上汽maxus上汽maxusv802012款2.5tmt4950*1998*2345国iv+obd前置前驱2012款2.5t中顶超值物流版f,上汽maxus v80,中顶超值物流
上汽大通上汽maxus上汽maxusv802014款2.5tmt4950*1998*2132国iv+obd前置前驱2014款2.5t商杰版短轴低顶,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802014款2.5tmt4950*1998*2132国iv+obd前置前驱2014款2.5t尊杰行政版短轴低顶,上汽maxus v80,尊杰行政
上汽大通上汽maxus上汽maxusv802014款2.5tmt5700*1998*2345国iv+obd前置前驱2014款2.5t尊杰版长轴高顶,上汽maxus v80,尊杰
上汽大通上汽maxus上汽maxusv802014款2.5tmt4950*1998*2132国iv+obd前置前驱2014款2.5t尊杰版短轴低顶,上汽maxus v80,尊杰
上汽大通上汽maxus上汽maxusv802014款2.5tmt4950*1998*2070国iv+obd前置前驱2014款2.5t傲运通短轴低顶,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802014款2.5tmt5700*1998*2345国iv+obd前置前驱2014款2.5t傲运通长轴中顶,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802015款2.5tamt5700*1998*2552国iv前置前驱2015款2.5tamt商旅版长轴高顶长轴高顶14-15座,上汽maxus v80,商旅
上汽大通上汽maxus上汽maxusv802015款2.5tamt5995*1998*2577国iv前置前驱2015款2.5tamt商旅版加长轴高顶,上汽maxus v80,商旅
上汽大通上汽maxus上汽maxusv802015款2.5tamt5700*1998*2345国iv前置前驱2015款2.5tamt商旅版长轴中顶长轴中顶14-16座,上汽maxus v80,商旅
上汽大通上汽maxus上汽maxusv802015款2.5tmt5995*1998*2577国iv前置前驱2015款2.5t商旅版加长轴高顶,上汽maxus v80,商旅
上汽大通上汽maxus上汽maxusv802015款2.5tmt5700*1998*2552国iv前置前驱2015款2.5t商旅版长轴高顶长轴高顶14-15座,上汽maxus v80,商旅
上汽大通上汽maxus上汽maxusv802015款2.5tmt5995*1998*2372国iv前置前驱2015款2.5t商旅版加长轴中顶,上汽maxus v80,商旅
上汽大通上汽maxus上汽maxusv80ev802015款电动电动电动车单速5700*1998*2345-前置前驱2015款ev80货运长轴中顶,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusg102015款2.4l4门7座mt5168*1980*1928国v前置后驱2015款2.4l手动纪念版,上汽maxus g10,纪念
上汽大通上汽maxus上汽maxusg102015款2.0t4门7座mt5168*1980*1928国v前置后驱2015款2.0t手动纪念版,上汽maxus g10,纪念
上汽大通上汽maxus上汽maxusg102015款2.0t4门7座amt5168*1980*1928国v前置后驱2015款2.0t纪念版,上汽maxus g10,纪念
上汽大通上汽maxus上汽maxusg102016款1.9t5门7座amt5168*1980*1928国v前置后驱2016款1.9t豪华版柴油国v,上汽maxus g10,豪华
上汽大通上汽maxus上汽maxusg102016款1.9t4门7座mt5168*1980*1928国v前置后驱2016款1.9t手动精英版柴油国v,上汽maxus g10,精英
上汽大通上汽maxus上汽maxusg102016款1.9t4门7座mt5168*1980*1928国iv前置后驱2016款1.9t手动精英版柴油国iv,上汽maxus g10,精英
上汽大通上汽maxus上汽maxusg102016款2.0t5门7座amt5168*1980*1928国v前置后驱2016款2.0t行政版,上汽maxus g10,行政
上汽大通上汽maxus上汽maxusg102016款2.0t5门7座mt5168*1980*1928国v前置后驱2016款2.0t手动豪华版,上汽maxus g10,豪华
上汽大通上汽maxus上汽maxusg102016款2.4l4门7座mt5168*1980*1928国v前置后驱2016款2.4l手动精英版,上汽maxus g10,精英
上汽大通上汽maxus上汽maxusg102016款2.0t4门7座amt5168*1980*1928国v前置后驱2016款2.0t精英版,上汽maxus g10,精英
上汽大通上汽maxus上汽maxusg102016款2.0t4门7座amt5168*1980*1928国v前置后驱2016款2.0t时尚版,上汽maxus g10,时尚
上汽大通上汽maxus上汽maxusg102016款2.0t5门7座amt5168*1980*1928国v前置后驱2016款2.0t旗舰版,上汽maxus g10,旗舰
上汽大通上汽maxus上汽maxusg102018款2.0t5门7座amt5168*1980*1928国v前置后驱2018款plus2.0t黑金智尊版,上汽maxus g10,黑金智尊
萨博萨博saab932004款2.0t4门5座amt4635*1762*1467欧iv前置前驱2004款2.0tvector,saab 93,nan
萨博萨博saab932004款2.0t2门4座mt4629*1711*1428欧iv前置前驱2004款2.0tconv,saab 93,nan
萨博萨博saab932004款2.0t2门4座mt4629*1711*1428欧iv前置前驱2004款2.0tcabriolet,saab 93,nan
萨博萨博saab932004款2.0t4门5座amt4635*1762*1467欧iv前置前驱2004款2.0tarc,saab 93,nan
萨博萨博saab932007款2.0t5门5座amt4670*1762*1492欧iv前置前驱2007款vector2.0ts多功能版,saab 93,多功能
萨博萨博saab932007款2.0t2门4座amt4647*1762*1437欧iv前置前驱2007款vector2.0ts敞篷版,saab 93,敞篷
萨博萨博saab932007款2.8t4门5座amt4647*1762*1450欧iv前置前驱2007款aero2.8ts,saab 93,nan
萨博萨博saab932008款2.0t4门5座amt4647*1762*1450欧iv前置前驱2008款linear2.0t,saab 93,nan
萨博萨博saab952004款2.3t4门5座amt4827*1792*1475欧iv前置前驱2004款2.3taero,saab 95,nan
萨博萨博saab952004款2.3t4门5座amt4827*1792*1475欧iv前置前驱2004款2.3tarc,saab 95,nan
smartsmartsmartforfour2016款1.0l5门4座dct3495*1665*1554国v后置后驱2016款1.0l52千瓦激情版,smart forfour,千瓦激情
smartsmartsmartforfour2016款0.9t5门4座dct3495*1665*1554国v后置后驱2016款0.9t66千瓦先锋版,smart forfour,千瓦先锋
smartsmartsmartforfour2016款1.0l5门4座dct3495*1665*1554国v后置后驱2016款1.0l52千瓦灵动版,smart forfour,千瓦灵动
smartsmartsmartforfour2016款0.9t5门4座dct3495*1665*1554国v后置后驱2016款0.9t吴亦凡特别版,smart forfour,吴亦凡特别
smartsmartsmartforfour2016款0.9t5门4座dct3495*1665*1554国v后置后驱2016款0.9t66千瓦极致版,smart forfour,千瓦极致
smartsmartsmartforfour2017款0.9t5门4座dct3495*1665*1554国v后置后驱2017款0.9t66千瓦挚爱特别版,smart forfour,千瓦挚爱特别
smartsmartsmartfortwo2009款1.0l3门2座amt2695*1559*1542欧iv后置后驱2009款1.0mhd敞篷style版,smart fortwo,nan
smartsmartsmartfortwo2009款1.0l3门2座amt2695*1559*1542欧iv后置后驱2009款1.0mhd硬顶style版,smart fortwo,nan
smartsmartsmartfortwo2009款1.0l3门2座amt2695*1559*1542欧iv后置后驱2009款1.0mhd硬顶标准版,smart fortwo,标准
smartsmartsmartfortwo2010款1.0l3门2座amt2695*1559*1542欧iv后置后驱2010款1.0敞篷哑光灰限量版,smart fortwo,哑光灰限量
smartsmartsmartfortwo2010款1.0l3门2座amt2695*1559*1542欧iv后置后驱2010款1.0硬顶哑光灰限量版,smart fortwo,哑光灰限量
smartsmartsmartfortwo2011款1.0t3门2座amt2695*1559*1565欧iv后置后驱2011款1.0t敞篷燃橙版,smart fortwo,敞篷燃橙
smartsmartsmartfortwo2011款1.0t3门2座amt2695*1559*1565欧iv后置后驱2011款1.0t硬顶燃橙版,smart fortwo,硬顶燃橙
smartsmartsmartfortwo2011款1.0l3门2座amt2695*1559*1565欧iv后置后驱2011款1.0mhd硬顶燃橙版,smart fortwo,硬顶燃橙
smartsmartsmartfortwo2011款1.0t3门2座amt2695*1559*1565欧iv后置后驱2011款1.0t兔年特别版,smart fortwo,兔年特别
smartsmartsmartfortwo2011款1.0l3门2座amt2695*1559*1565欧iv后置后驱2011款1.0mhd兔年特别版,smart fortwo,兔年特别
smartsmartsmartfortwo2011款1.0t3门2座amt2695*1559*1532欧iv后置后驱2011款1.0t博速特别版,smart fortwo,博速特别
smartsmartsmartfortwo2011款1.0l3门2座amt2695*1559*1542欧iv后置后驱2011款1.0mhd敞篷激情版,smart fortwo,敞篷激情
smartsmartsmartfortwo2011款1.0l3门2座amt2695*1559*1542欧iv后置后驱2011款1.0mhd硬顶激情版,smart fortwo,硬顶激情
smartsmartsmartfortwo2012款1.0t3门2座amt2695*1559*1565欧iv后置后驱2012款1.0t敞篷烈焰特别版,smart fortwo,敞篷烈焰特别
smartsmartsmartfortwo2012款1.0t3门2座amt2695*1559*1565欧iv后置后驱2012款1.0t硬顶烈焰特别版,smart fortwo,硬顶烈焰特别
smartsmartsmartfortwo2012款1.0l3门2座amt2695*1559*1565欧iv后置后驱2012款1.0mhd硬顶烈焰特别版,smart fortwo,硬顶烈焰特别
smartsmartsmartfortwo2012款1.0t3门2座amt2695*1559*1555欧iv后置后驱2012款1.0t博速xclusive版,smart fortwo,nan
smartsmartsmartfortwo2012款1.0t3门2座amt2695*1559*1565欧iv后置后驱2012款1.0t敞篷激情领航版,smart fortwo,敞篷激情领航
smartsmartsmartfortwo2012款1.0t3门2座amt2695*1559*1565欧iv后置后驱2012款1.0t硬顶激情版,smart fortwo,硬顶激情
smartsmartsmartfortwo2012款1.0l3门2座amt2695*1559*1565欧iv后置后驱2012款1.0mhd敞篷激情版,smart fortwo,敞篷激情
smartsmartsmartfortwo2012款1.0l3门2座amt2695*1559*1565欧iv后置后驱2012款1.0mhd硬顶标准版,smart fortwo,硬顶标准
smartsmartsmartfortwo2012款1.0l3门2座amt2695*1559*1565欧iv后置后驱2012款1.0mhd龙年特别版,smart fortwo,龙年特别
smartsmartsmartfortwo2012款1.0t3门2座amt2695*1559*1565欧iv后置后驱2012款1.0t流光灰特别版,smart fortwo,流光灰特别
smartsmartsmartfortwo2013款1.0t3门2座amt2695*1559*1565欧iv后置后驱2013款1.0t敞篷激情版,smart fortwo,敞篷激情
smartsmartsmartfortwo2013款1.0t3门2座amt2695*1559*1565欧iv后置后驱2013款1.0t硬顶激情版,smart fortwo,硬顶激情
smartsmartsmartfortwo2013款1.0t3门2座amt2695*1559*1565欧iv后置后驱2013款1.0t敞篷城市游侠特别版,smart fortwo,城市游侠特别
smartsmartsmartfortwo2013款1.0l3门2座amt2695*1559*1565欧iv后置后驱2013款1.0mhd硬顶城市游侠特别版,smart fortwo,城市游侠特别
smartsmartsmartfortwo2013款1.0t3门2座amt2695*1559*1565欧iv后置后驱2013款1.0t硬顶城市游侠特别版,smart fortwo,城市游侠特别
smartsmartsmartfortwo2013款1.0l3门2座amt2695*1559*1565欧iv后置后驱2013款1.0mhd硬顶冰炫特别版,smart fortwo,硬顶冰炫特别
smartsmartsmartfortwo2013款1.0t3门2座amt2695*1559*1565欧iv后置后驱2013款1.0t敞篷冰炫特别版,smart fortwo,敞篷冰炫特别
smartsmartsmartfortwo2014款1.0t3门2座amt2695*1559*1565欧iv后置后驱2014款1.0t敞篷城市光波激情版,smart fortwo,城市光波激情
smartsmartsmartfortwo2014款1.0l3门2座amt2695*1559*1565欧iv后置后驱2014款1.0mhd敞篷城市光波激情版,smart fortwo,城市光波激情
smartsmartsmartfortwo2014款1.0t3门2座amt2695*1559*1565欧iv后置后驱2014款1.0t硬顶城市光波激情版,smart fortwo,城市光波激情
smartsmartsmartfortwo2014款1.0t3门2座amt2695*1559*1565欧iv后置后驱2014款1.0t硬顶boconcept特别版,smart fortwo,特别
smartsmartsmartfortwo2014款1.0l3门2座amt2695*1559*1565欧iv后置后驱2014款1.0mhd硬顶boconcept特别版,smart fortwo,特别
smartsmartsmartfortwo2014款1.0t3门2座amt2695*1559*1565欧iv后置后驱2014款1.0t敞篷boconcept特别版,smart fortwo,特别
smartsmartsmartfortwo2015款1.0l3门2座dct2695*1663*1555国v后置后驱2015款1.0l52千瓦硬顶灵动版,smart fortwo,千瓦硬顶灵动
smartsmartsmartfortwo2015款1.0l3门2座amt2695*1559*1565欧iv后置后驱2015款1.0mhd舒适畅游版,smart fortwo,舒适畅游
上汽大通上汽maxus上汽maxusv802017款2.5tmt5700*1998*2552国v前置前驱2017款2.5t手动商杰版国v长轴高顶14-16座,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802017款2.5tmt5995*1998*2372国v前置前驱2017款2.5t手动商杰版国v加长轴中顶17-19座,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802017款2.5tmt4950*1998*2345国v前置前驱2017款2.5t手动商杰版国v短轴中顶11-13座,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802017款2.5tmt4950*1998*2132国v前置前驱2017款2.5t手动商杰版国v短轴低顶11-13座,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802017款2.5tmt4950*1998*2345国v前置前驱2017款2.5t手动商杰版国v短轴中顶9座,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802017款2.5tamt5995*1998*2577国v前置前驱2017款2.5tamt商杰版国v加长轴高顶17-19座,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802017款2.5tamt4950*1998*2345国v前置前驱2017款2.5tamt商杰版国v短轴中顶11-13座,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802017款2.5tamt4950*1998*2132国v前置前驱2017款2.5tamt商杰版国v短轴低顶11-13座,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802017款2.5tamt4950*1998*2345国v前置前驱2017款2.5tamt商杰版国v短轴中顶9座,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802017款2.5tamt4950*1998*2345国iv前置前驱2017款2.5tamt尊杰国iv短轴中顶7座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802017款2.5tamt4950*1998*2132国iv前置前驱2017款2.5tamt尊杰国iv短轴低顶7座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802017款2.5tamt5700*1998*2345国v前置前驱2017款2.5tamt尊杰国v长轴中顶9座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802017款2.5tamt4950*1998*2132国v前置前驱2017款2.5tamt尊杰国v短轴低顶7座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802017款2.5tamt5700*1998*2345国iv前置前驱2017款2.5tamt尊杰行政国iv长轴中顶6座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802017款2.5tamt4950*1998*2132国iv前置前驱2017款2.5tamt尊杰行政国iv短轴低顶6座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802017款2.5tamt5700*1998*2345国v前置前驱2017款2.5tamt尊杰行政国v长轴中顶6座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802017款2.5tamt4950*1998*2132国v前置前驱2017款2.5tamt尊杰行政国v短轴低顶6座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802017款2.5tamt5700*1998*2345国v前置前驱2017款2.5tamt商杰版国v长轴中顶14-16座,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802018款2.5tamt4950*1998*2345国v前置前驱2018款2.5tamt尊杰短轴中顶7座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802018款2.5tamt5700*1998*2345国v前置前驱2018款2.5tamt尊杰长轴中顶9座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802018款2.5tamt4950*1998*2132国v前置前驱2018款2.5tamt尊杰短轴低顶7座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802018款2.5tamt5785*1998*2345国v前置前驱2018款2.5tamt傲运通长轴中顶5座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802018款2.5tamt5785*1998*2552国v前置前驱2018款2.5tamt精英版长轴高顶5座,上汽maxus v80,精英
上汽大通上汽maxus上汽maxusv802018款2.5tamt5785*1998*2345国v前置前驱2018款2.5tamt精英版长轴中顶5座,上汽maxus v80,精英
上汽大通上汽maxus上汽maxusv802018款2.5tmt5785*1998*2552国v前置前驱2018款2.5t6挡手动精英版长轴高顶5座,上汽maxus v80,挡精英
特斯拉（）进口特斯拉models2014款5门5座4970*1964*1445后置后驱2014款models60,model s,nan
特斯拉（）进口特斯拉models2014款5门5座4970*1964*1445后置后驱2014款models85,model s,nan
特斯拉（）进口特斯拉models2014款5门5座4970*1964*1445后置后驱2014款modelsp85,model s,nan
特斯拉（）进口特斯拉models90d2015款5门5座4970*1964*1445双电机四驱2015款models90d,model s,nan
特斯拉（）进口特斯拉models2015款5门5座4970*1964*1445后置后驱2015款models90,model s,nan
特斯拉（）进口特斯拉models2015款5门5座4970*1964*1445后置后驱2015款models85,model s,nan
特斯拉（）进口特斯拉models2015款5门5座4970*1964*1445后置后驱2015款models60,model s,nan
特斯拉（）进口特斯拉models85d2015款5门5座4970*1964*1445双电机四驱2015款modelsp85d,model s,nan
特斯拉（）进口特斯拉models60d2015款5门5座4970*1964*1445双电机四驱2015款models60d,model s,nan
特斯拉（）进口特斯拉models100d2016款5门5座4970*1964*1445双电机四驱2016款modelsp100d,model s,nan
特斯拉（）进口特斯拉models60d2016款5门5座4970*1964*1445双电机四驱2016款models60d,model s,nan
特斯拉（）进口特斯拉models75d2016款5门5座4970*1964*1445双电机四驱2016款models75d,model s,nan
特斯拉（）进口特斯拉models2016款5门5座4970*1964*1445后置后驱2016款models75,model s,nan
特斯拉（）进口特斯拉models90d2016款5门5座4970*1964*1445双电机四驱2016款models90d,model s,nan
特斯拉（）进口特斯拉models90d2016款5门5座4970*1964*1445双电机四驱2016款modelsp90d,model s,nan
特斯拉（）进口特斯拉models100d2017款5门5座4970*1964*1445双电机四驱2017款modelsp100dperformance高性能版,model s,高性能
特斯拉（）进口特斯拉models90d2017款5门5座4970*1964*1445双电机四驱2017款models90d,model s,nan
特斯拉（）进口特斯拉models75d2017款5门5座4970*1964*1445双电机四驱2017款models75d标准续航版,model s,标准续航
特斯拉（）进口特斯拉models2019款5门5座4979*1964*1445双电机四驱2019款标准续航版,model s,标准续航
特斯拉（）进口特斯拉modelx100d2016款5门5座5037*2070*1684双电机四驱2016款modelxp100dperformance高性能版,model x,高性能
特斯拉（）进口特斯拉modelx60d2016款5门5座5037*2070*1684双电机四驱2016款modelx60d,model x,nan
特斯拉（）进口特斯拉modelx90d2016款5门5座5037*2070*1684双电机四驱2016款modelx90d,model x,nan
特斯拉（）进口特斯拉modelx90d2016款5门5座5037*2070*1684双电机四驱2016款modelxp90d,model x,nan
特斯拉（）进口特斯拉modelx100d2017款5门5座5037*2070*1684双电机四驱2017款modelx100d长续航版,model x,长续航
特斯拉（）进口特斯拉modelx2019款5门5座5037*2070*1684双电机四驱2019款标准续航版,model x,标准续航
泰卡特泰卡特泰卡特t22014款2.7l2门2座dct4380*1801*1294欧iv中置后驱2014款2.7l标准型,泰卡特 t2,标准
泰卡特泰卡特泰卡特t32014款3.4l2门2座dct4491*1808*1303欧v后置后驱2014款3.4l标准型,泰卡特 t3,标准
泰卡特泰卡特泰卡特t72014款3.0t5门5座amt4846*1938*1712欧iv前置四驱2014款3.0t柴油标准型,泰卡特 t7,标准
泰卡特泰卡特泰卡特t72014款3.6l5门5座amt4846*1938*1712欧iv前置四驱2014款3.6l汽油标准型,泰卡特 t7,标准
泰卡特泰卡特泰卡特t92014款3.0t5门4座dct5050*2065*1420欧v前置后驱2014款3.0t标准型,泰卡特 t9,标准
特斯拉（）进口特斯拉modelx90d2016款5门5座5037*2070*1684双电机四驱2016款modelxp90dsignaturered,model x,nan
长城汽车weyweyvv52017款2.0t5门5座dct4462*1857*1638国v前置前驱2017款2.0t旗舰型,wey vv5,旗舰
长城汽车weyweyvv52017款2.0t5门5座dct4462*1857*1638国v前置前驱2017款2.0t超豪型,wey vv5,超豪
长城汽车weyweyvv72017款2.0t5门5座dct4765*1931*1655国v前置前驱2017款2.0t超豪型,wey vv7,超豪
长城汽车weyweyvv72017款2.0t5门5座dct4765*1931*1655国v前置前驱2017款2.0t豪华型,wey vv7,豪华
长城汽车weyweyvv72017款2.0t5门5座dct4749*1931*1655国v前置前驱2017款vv7c2.0t豪华型,wey vv7,豪华
长城汽车weyweyvv72017款2.0t5门5座dct4765*1931*1655国v前置前驱2017款2.0t旗舰型,wey vv7,旗舰
沃尔沃亚太沃尔沃xcclassic2014款2.5t5门7座amt4807*1936*1784国iv(国v)前置四驱2014款t5行政版,xc classic,行政
沃尔沃亚太沃尔沃xcclassic2014款2.5t5门7座amt4807*1936*1784国iv(国v)前置四驱2014款t5豪华版,xc classic,豪华
上汽大通上汽maxus上汽maxusv80ev802015款电动电动电动车单速4950*1998*2345-前置前驱2015款ev80货运短轴中顶,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv80ev802015款电动电动电动车单速6005*1998*2552-前置前驱2015款ev80客运长轴高顶,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv80ev802015款电动电动电动车单速6005*1998*2345-前置前驱2015款ev80客运长轴中顶,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802015款2.5tamt5700*1998*2345国iv前置前驱2015款2.5tamt尊杰版长轴中顶,上汽maxus v80,尊杰
上汽大通上汽maxus上汽maxusv802015款2.5tmt4950*1998*2345国iv前置前驱2015款2.5t手动尊杰版短轴中顶,上汽maxus v80,尊杰
上汽大通上汽maxus上汽maxusv802015款2.5tmt5700*1998*2345国iv前置前驱2015款2.5t手动尊杰版长轴中顶,上汽maxus v80,尊杰
上汽大通上汽maxus上汽maxusv802015款2.5tamt5700*1998*2552国iv前置前驱2015款2.5tamt傲运通版长轴高顶,上汽maxus v80,傲运通
上汽大通上汽maxus上汽maxusv802015款2.5tamt4950*1998*2345国iv前置前驱2015款2.5tamt傲运通版短轴中顶,上汽maxus v80,傲运通
上汽大通上汽maxus上汽maxusv802015款2.5tmt5700*1998*2552国iv前置前驱2015款2.5t手动傲运通版长轴高顶,上汽maxus v80,傲运通
上汽大通上汽maxus上汽maxusv802015款2.5tmt5700*1998*2345国iv前置前驱2015款2.5t手动傲运通版长轴中顶,上汽maxus v80,傲运通
上汽大通上汽maxus上汽maxusv802015款2.5tmt4950*1998*2345国iv前置前驱2015款2.5t手动傲运通版短轴中顶,上汽maxus v80,傲运通
上汽大通上汽maxus上汽maxusv802015款2.5tamt4950*1998*2132国iv前置前驱2015款2.5tamt商杰版短轴低顶,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802015款2.5tamt5995*1998*2372国iv前置前驱2015款2.5tamt商杰版加长轴中顶,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802015款2.5tamt5700*1998*2345国iv前置前驱2015款2.5tamt商杰版长轴中顶,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802015款2.5tamt4950*1998*2345国iv前置前驱2015款2.5tamt商杰版短轴中顶,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802015款2.5tmt4950*1998*2132国iv前置前驱2015款2.5t手动商杰版短轴低顶,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802015款2.5tmt5995*1998*2577国iv前置前驱2015款2.5t手动商杰版加长轴高顶,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802015款2.5tmt5700*1998*2345国iv前置前驱2015款2.5t手动商杰版长轴中顶,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802015款2.5tmt4950*1998*2345国iv前置前驱2015款2.5t手动商杰版短轴中顶,上汽maxus v80,商杰
上汽大通上汽maxus上汽maxusv802016款2.5tmt5995*1998*2577国iv前置前驱2016款2.5t手动商杰国iv加长轴高顶19座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5700*1998*2552国iv前置前驱2016款2.5t手动商杰国iv长轴高顶15座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5700*1998*2345国iv前置前驱2016款2.5t手动商杰国iv长轴中顶15座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5995*1998*2577国v前置前驱2016款2.5t手动商杰国v加长轴高顶19座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5995*1998*2372国v前置前驱2016款2.5t手动商杰国v加长轴中顶19座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt4950*1998*2345国v前置前驱2016款2.5t手动商杰国v短轴中顶12座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt4950*1998*2132国v前置前驱2016款2.5t手动商杰国v短轴低顶9座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt5995*1998*2372国iv前置前驱2016款2.5tamt商杰国iv加长轴中顶19座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt5700*1998*2552国iv前置前驱2016款2.5tamt商杰国iv长轴高顶15座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt4950*1998*2345国iv前置前驱2016款2.5tamt商杰国iv短轴中顶12座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt5700*1998*2345国iv前置前驱2016款2.5tamt商杰国iv长轴中顶15座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5700*1998*2552国iv前置前驱2016款2.5t手动商旅国iv长轴高顶15座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt5700*1998*2552国iv前置前驱2016款2.5tamt商旅国iv长轴高顶15座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt5700*1998*2552国iv前置前驱2016款2.5tamt商旅国iv长轴高顶14座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt5700*1998*2345国iv前置前驱2016款2.5tamt商旅国iv长轴中顶15座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5700*1998*2552国iv前置前驱2016款2.5t手动商旅国iv长轴高顶14座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5995*1998*2577国iv前置前驱2016款2.5t手动商旅国iv加长轴高顶17座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5700*1998*2552国v前置前驱2016款2.5t手动商旅国v长轴高顶14座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5700*1998*2345国v前置前驱2016款2.5t手动商旅国v长轴中顶15座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5995*1998*2372国v前置前驱2016款2.5t手动商旅国v加长轴中顶17座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5700*1998*2345国v前置前驱2016款2.5t手动傲运通国v长轴中顶7座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt4950*1998*2132国v前置前驱2016款2.5t手动傲运通国v短轴低顶6座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt5700*1998*2552国iv前置前驱2016款2.5tamt傲运通国iv长轴高顶7座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt5700*1998*2345国iv前置前驱2016款2.5tamt傲运通国iv长轴中顶7座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt4950*1998*2345国iv前置前驱2016款2.5tamt傲运通国iv短轴中顶6座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5700*1998*2552国iv前置前驱2016款2.5t手动傲运通国iv长轴高顶7座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt5700*1998*2345国iv前置前驱2016款2.5t手动傲运通国iv长轴中顶7座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tmt4950*1998*2132国iv前置前驱2016款2.5t手动傲运通国iv短轴低顶6座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt5700*1998*2345国iv前置前驱2016款2.5tamt尊杰国iv长轴中顶9座,上汽maxus v80,nan
上汽大通上汽maxus上汽maxusv802016款2.5tamt5700*1998*2345国v前置前驱2016款2.5tamt尊杰国v长轴中顶9座,上汽maxus v80,nan
